fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,cntyname,pop2010,hu2010,state_alpha
5406799999,541,559,665,847,962,Nicholas County,26233,13064,WV
5406999999,580,583,713,910,1045,Ohio County,44443,21172,WV
5407199999,499,503,644,937,1134,Pendleton County,7695,5132,WV
5407399999,594,614,730,915,1056,Pleasants County,7605,3390,WV
5407599999,515,519,690,962,998,Pocahontas County,8719,8847,WV
5407799999,744,765,879,1174,1197,Preston County,33520,15097,WV
5407999999,584,638,840,1084,1163,Putnam County,55486,23438,WV
5408199999,671,693,796,998,1175,Raleigh County,78859,35931,WV
5408399999,553,601,690,865,984,Randolph County,29405,14189,WV
5408599999,548,548,673,869,973,Ritchie County,10449,5843,WV
5408799999,524,561,644,880,969,Roane County,14926,7351,WV
5408999999,524,558,644,928,931,Summers County,13927,7680,WV
5409199999,559,598,687,942,945,Taylor County,16895,7541,WV
5409399999,542,560,666,835,962,Tucker County,7141,5346,WV
5409599999,524,561,644,846,1134,Tyler County,9208,5000,WV
5409799999,471,546,706,900,1185,Upshur County,24254,11099,WV
5409999999,504,618,748,1007,1219,Wayne County,42481,19227,WV
5410199999,545,549,730,915,1056,Webster County,9154,5428,WV
